"time", "liberal percentage", "conservative percentage", "liberal positive", "liberal negative", "conservative positive", "conservative negative"
"21:34:35", "96.549364", "3.450636", "2026083.000000", "-52019.000000", "20433.000000", "-1136.000000"
"21:35:05", "96.848727", "3.151273", "1152177.000000", "-8580.000000", "28932.000000", "-687.000000"
"21:35:35", "97.891700", "2.108300", "2187696.000000", "-1550.000000", "45890.000000", "-15018.000000"
"21:36:05", "95.586621", "4.413379", "1231862.000000", "-13003.000000", "44566.000000", "-14989.000000"
"21:36:35", "96.020088", "3.979912", "1207050.000000", "-13060.000000", "37611.000000", "-15448.000000"
"21:37:05", "82.298622", "17.701378", "133911.000000", "-18581.000000", "11457.000000", "-5744.000000"
"21:37:35", "87.415237", "12.584763", "953609.000000", "-129405.000000", "8041.000000", "-1107.000000"
"21:38:05", "88.184440", "11.815560", "1832802.000000", "-219817.000000", "25975.000000", "-1646.000000"
"21:38:35", "91.983598", "8.016402", "2678586.000000", "-215478.000000", "22212.000000", "-48770.000000"
"21:39:05", "84.616676", "15.383324", "1820297.000000", "-315695.000000", "24198.000000", "-49300.000000"
"21:39:35", "76.529685", "23.470315", "1098056.000000", "-351164.000000", "14120.000000", "-93026.000000"
"21:40:07", "43.764805", "56.235195", "232833.000000", "-350971.000000", "18181.000000", "-54458.000000"
"21:40:37", "85.302364", "14.697636", "1053281.000000", "-176403.000000", "15304.000000", "-59351.000000"
"21:41:07", "87.623675", "12.376325", "997374.000000", "-137288.000000", "8141.000000", "-32255.000000"
"21:41:37", "88.405237", "11.594763", "1083928.000000", "-137165.000000", "9416.000000", "-33691.000000"
"21:42:07", "61.562951", "38.437049", "214878.000000", "-136037.000000", "10894.000000", "-20455.000000"
"21:42:37", "93.909476", "6.090524", "1965742.000000", "-105240.000000", "22697.000000", "-6912.000000"
"21:43:07", "99.075750", "0.924250", "3728460.000000", "-12260.000000", "22606.000000", "-9031.000000"
"21:43:40", "96.141818", "3.858182", "4532809.000000", "-10819.000000", "171435.000000", "-8768.000000"
"21:44:10", "95.431756", "4.568244", "3655997.000000", "-11114.000000", "164577.000000", "-14232.000000"
"21:44:40", "82.245818", "17.754182", "1093336.000000", "-59736.000000", "178836.000000", "-11843.000000"
"21:45:10", "94.127618", "5.872382", "1868322.000000", "-91641.000000", "25943.000000", "-16416.000000"
"21:45:40", "92.575284", "7.424716", "2890538.000000", "-200721.000000", "31830.000000", "-9031.000000"
"21:46:10", "94.691781", "5.308219", "2872930.000000", "-145640.000000", "16039.000000", "-11215.000000"
"21:46:40", "89.286439", "10.713561", "1062434.000000", "-112661.000000", "16167.000000", "-11214.000000"
"21:47:10", "98.443435", "1.556565", "1939002.000000", "-10060.000000", "20683.000000", "-5309.000000"
"21:47:40", "99.447778", "0.552222", "1777508.000000", "-1609.000000", "8284.000000", "-4088.000000"
"21:48:10", "98.357636", "1.642364", "1890290.000000", "-15471.000000", "16243.000000", "-8993.000000"
"21:48:40", "98.178804", "1.821196", "7264081.000000", "-119517.000000", "15496.000000", "-14331.000000"
"21:49:11", "98.167539", "1.832461", "7394026.000000", "-120661.000000", "17609.000000", "-13295.000000"
"21:49:41", "98.043363", "1.956637", "7401477.000000", "-127561.000000", "20273.000000", "-6204.000000"
"21:50:11", "97.977785", "2.022215", "7357122.000000", "-112428.000000", "39534.000000", "-5546.000000"
"21:50:42", "95.823789", "4.176211", "1088090.000000", "-13173.000000", "34337.000000", "-2034.000000"
"21:51:12", "95.070680", "4.929320", "1835231.000000", "-56156.000000", "39421.000000", "-8141.000000"
"21:51:42", "95.572218", "4.427782", "1869682.000000", "-52480.000000", "34547.000000", "-8767.000000"
"21:52:12", "96.172269", "3.827731", "1996084.000000", "-66325.000000", "13461.000000", "-8550.000000"
"21:52:42", "86.989339", "13.010661", "1118705.000000", "-160740.000000", "7928.000000", "-9010.000000"
"21:53:12", "87.548857", "12.451143", "1134020.000000", "-158058.000000", "3931.000000", "-4988.000000"
"21:53:42", "91.994507", "8.005493", "1797219.000000", "-155028.000000", "3469.000000", "-24137.000000"
"21:54:12", "98.620826", "1.379174", "900593.000000", "-7597.000000", "5312.000000", "-22493.000000"
"21:54:42", "99.854703", "0.145297", "7139080.000000", "-3919.000000", "6500.000000", "-21350.000000"
"21:55:12", "99.689663", "0.310337", "7227899.000000", "-5199.000000", "17376.000000", "-23881.000000"
"21:55:42", "99.734719", "0.265281", "9039351.000000", "-7044.000000", "17019.000000", "-7343.000000"
"21:56:12", "98.646781", "1.353219", "9077112.000000", "-109630.000000", "15027.000000", "-10116.000000"
"21:56:42", "96.941387", "3.058613", "3722773.000000", "-107514.000000", "10213.000000", "-8532.000000"
"21:57:12", "94.944995", "5.055005", "2847678.000000", "-106241.000000", "48447.000000", "-57730.000000"
"21:57:43", "95.929567", "4.070433", "3689008.000000", "-108660.000000", "50190.000000", "-54675.000000"
"21:58:13", "97.574710", "2.425290", "3696492.000000", "-4130.000000", "90182.000000", "-97886.000000"
"21:58:43", "94.601020", "5.398980", "1938822.000000", "-4841.000000", "111383.000000", "-97657.000000"
"21:59:13", "97.434991", "2.565009", "2667183.000000", "-4071.000000", "67378.000000", "-46894.000000"
"21:59:44", "96.335332", "3.664668", "1777597.000000", "-1212.000000", "66455.000000", "-1206.000000"
"22:00:14", "98.533659", "1.466341", "1792995.000000", "-1023.000000", "25888.000000", "-15343.000000"
"22:00:44", "99.714878", "0.285122", "922095.000000", "-202.000000", "2478.000000", "-15173.000000"
"22:01:14", "99.413977", "0.586023", "921132.000000", "-346.000000", "5172.000000", "-14952.000000"
"22:01:44", "89.464338", "10.535662", "925802.000000", "-104478.000000", "4568.000000", "-170.000000"
"22:02:14", "89.859531", "10.140469", "1018696.000000", "-109540.000000", "5437.000000", "-170.000000"
"22:02:44", "89.789434", "10.210566", "1009420.000000", "-109540.000000", "5248.000000", "0.000000"
"22:03:14", "85.344449", "14.655551", "1007681.000000", "-156277.000000", "16769.000000", "-27.000000"
"22:03:44", "80.214836", "19.785164", "1137741.000000", "-156488.000000", "127604.000000", "-14051.000000"
"22:04:14", "52.132097", "47.867903", "170579.000000", "-47936.000000", "127205.000000", "-20164.000000"
"22:04:44", "70.192530", "29.807470", "387698.000000", "-47802.000000", "127423.000000", "-24933.000000"
"22:05:14", "74.392234", "25.607766", "396101.000000", "-30468.000000", "114674.000000", "-25546.000000"
"22:05:44", "88.734267", "11.265733", "251450.000000", "-31399.000000", "3339.000000", "-22163.000000"
"22:06:15", "81.807964", "18.192036", "147615.000000", "-33530.000000", "5477.000000", "-27796.000000"
"22:06:45", "93.987606", "6.012394", "122542.000000", "-4913.000000", "4663.000000", "-27153.000000"
"22:07:15", "98.946452", "1.053548", "1098367.000000", "-6547.000000", "5562.000000", "-38878.000000"
"22:07:45", "97.587028", "2.412972", "1096594.000000", "-5520.000000", "22571.000000", "-39481.000000"
"22:08:15", "96.356990", "3.643010", "1098643.000000", "-2855.000000", "39779.000000", "-29019.000000"
"22:08:45", "96.309798", "3.690202", "1121380.000000", "-4244.000000", "40034.000000", "-34222.000000"
"22:09:15", "95.721198", "4.278802", "914342.000000", "-1792.000000", "39744.000000", "-14861.000000"
"22:09:45", "97.988927", "2.011073", "913351.000000", "-10240.000000", "21388.000000", "-627714.000000"
